,id,job_title,location,salary_currency,career_level,experience_level,education_level,employment_type,job_function,job_benefits,company_process_time,company_size,company_industry,job_description
116,116,SALES REPRESENTATIF,Ternate,IDR,Pegawai (non-manajemen & non-supervisor),3 tahun,"SMA, SMU/SMK/STM",Penuh Waktu,"Penjualan / Pemasaran,Penjualan - Korporasi","Asuransi kesehatan;Waktu regular, Senin - Jumat;Bisnis (contoh: Kemeja)",23 days,Lebih dari 5000 pekerja,Konsultasi (Bisnis & Manajemen),SALES REPRESENTATIF(AREA KOTA TERNATE)Pendidikan Minimal SMA SederajatUsia Maksimal 35 TahunMemiliki Pengalaman Pada Level Yang Sama Segala Bidang Minimal 2 TahunSiap Kerja Dengan TargetAktif dan KomunikatifMampu Berkomunikasi Dengan Baik
132,132,Internal Audit Specialist,Pontianak,IDR,Pegawai (non-manajemen & non-supervisor),3 tahun,Sarjana (S1),Penuh Waktu,"Akuntansi / Keuangan,Audit & Pajak","Asuransi Gigi;Tip;Asuransi kesehatan;Waktu regular, Senin - Jumat;Bisnis (contoh: Kemeja)",5 days,501 - 1000 pekerja,Bahan Kimia/Pupuk/Pestisida,"Kualifikasi:Pendidikan minimal S1 semua jurusan dengan Minimal IPK 3.00Pengalaman minimal 3 tahun dibidang yang sama sebagai Internal AuditMemahami fungsi dari Internal Audit & Teknik – Teknik AuditMemiliki sertifikat ISO 9001:2015, Risk Management & Internal AuditorMemiliki keahlian & pelatihan teknis sebagai auditorBersikap independent, kompeten, cermat & seksamaMampu berbahasa Inggris baik secara lisan dan tulisanMemiliki kemampuan komunikasi yang baikMenguasai program MS Office & Visio• Bersedia bekerja di lokasi di Tayan, Kalimantan BaratTugas & Tanggung jawab:Melaksanakan audit Integrasi ISO & OHSAS Mengendalikan hasil audit Internal & eksternal.Mengusulkan rancangan konsep/proses kerja yang best practice sesuai dengan fungsi dan bidang kerjanya.Menganalisis, mengusulkan, dan mengimplementasikan aktivitas/program improvement & innovation tentang konsep/proses kerja sesuai dengan fungsi dan bidang kerja jabatannya.Mengembangkan pengetahuan dan keahlian sesuai dengan fungsi dan bidang kerja jabatannya serta mengaplikasikannya dalam bekerjaMenyebarkan pengetahuan dan keahlian yang dimiliki ke pegawai lain untuk mendukung terciptanya high performance organization.Mengusulkan kebutuhan dari tiap proses bisnis yang menjadi bidang pekerjaannya.Mengusulkan dan mengimplementasikan rencana dan program sistem manajemen kinerja, sistem manajemen kualitas, sistem manajemen risiko, good corporate governance sesuai dengan fungsi dan bidang kerja jabatannya.Mendesain program kerja dan prosedur audit"
135,135,Teaching Assistant,Jakarta Utara,IDR,Pegawai (non-manajemen & non-supervisor),2 tahun,Sarjana (S1),Penuh Waktu,"Pendidikan/Pelatihan,Pendidikan","Asuransi Gigi;Asuransi kesehatan;Olahraga (contoh: pusat kebugaran);Parkir;Waktu regular, Senin - Jumat;Formil (contoh: Kemeja + Dasi)",28 days,51 - 200 pekerja,Pendidikan,"Requirement:Candidate must possess at least Bachelor's Degree in Education/Teaching/Training or equivalent.Fresh graduate or preferable have 2 Year(s) of working experience in the related field is required for this position.Literacy and Numeracy - need to be confident applying for numbers and writing the English languageYou need to beA professional attitudeStrong regard for students well-being, emotional and physicalA positive approach to working with children, and an ability to inspire and motivate themAn understanding of how to build rapport and positive relationships with studentsAn ability to recognize and respect diversity in the classroomHave an excellent teamwork ethic, contributing to the professional discussions in the classroom ResponsibilitiesDelivering tailored learning activities as devised by the teacher, either in a small group setting or on a one-to-one basisEnsuring that any pupils they support can engage in learning and stay on task during the lesson or activitySupporting the social and emotional development of students, raising any concerns as per the school’s policy and protocolsManaging challenging behaviorGuiding and monitoring a student’s progressProviding a range of administrative support in the classroom, such as preparing classroom resourcesProviding support outside of class, such as school-wide events and covering absences of TA colleaguesBeing a part of extra-curricular activities, including after-school clubsCovering lunch and break time duties Administrative DutiesAssisting the Coordinator in sharing and collecting documentationUploading, downloading, and collating files and IB documents as needed for the administration of the programme."
165,165,Engineer Project Cost & Control,Bekasi,IDR,Pegawai (non-manajemen & non-supervisor),1 tahun,Tidak terspesifikasi,Kontrak,"Teknik,Mekanikal","Asuransi kesehatan;Waktu regular, Senin - Jumat;Bisnis (contoh: Kemeja)",29 days,201 - 500 pekerja,Konstruksi/Bangunan/Teknik,"Pendidikan S1 Teknik SipilUsia maksimal.30 tahunDiutamakan berpengalaman kerja minimal 1 tahunMemahami pengoperasian AutocadDapat mengumpulkan, mengevaluasi data-data proyek yang sedang berjalan (Data Engineering)Follow up laporan progress proyek sampai dengan menjadi BAP/InvoiceMenyajikan data Evaluasi proyek secara dengan menggunakan Teknik Engineering (Progress, Kurva S, dll)Mampu menyediakan dokumen-dokumen penutupan proyekMemonitoring RAPK Pelaksanaan Proyek BaruMemonitoring penunjuk pelaksana proyekReview data teknis pengadaan MaterialBersedia ditempatkan di seluruh area Proyek"
173,173,Staff Videografer dan Editing,Kediri,IDR,Pegawai (non-manajemen & non-supervisor),1 tahun,"SMA, SMU/SMK/STM, Sertifikat Professional, D3 (Diploma), D4 (Diploma), Sarjana (S1)",Penuh Waktu,"Penjualan / Pemasaran,Digital Marketing",Tunjangan Pendidikan;Bisnis (contoh: Kemeja);Monday - Friday,28 days,501 - 1000 pekerja,Umum & Grosir,"Kualifikasi :Pendidikan minimal SMAUsia maksimal 30 tahunMenguasai teknik pengambilan gambar / video dengan baikMemahami software editing video (Adobe Premiere, After Effect, dll)Memahami dan bisa menggunakan alat-alat videografiMenguasi software grafis (corel,photoshop, Ai)Berpengalaman dalam bidangnya minimal 1 tahunKonseptual,kreatif, orisinilitas dan memiliki kemampuan visual dan detailMemahami media sosial youtube, instagram, websiteDapat bekerja dalam team maupun individuWajib melampirkan portofolioDeskripsi Pekerjaan:Bertanggung jawab untuk membuat video kebutuhan perusahaanBertanggung jawab untuk membuat lay outing desain banner dan kebutuhan desain lainnyaBertanggung jawab melakukan proses pengambilan video hingga editing video sampai selesaiBertanggung jawab mempersiapkan kreatif desain, video, atau lainnyaKoordinasi dengan pihak terkait dalam proses peliputan/ pembutan video"
177,177,Sales (Food),Malang,IDR,Pegawai (non-manajemen & non-supervisor),1 tahun,"SMA, SMU/SMK/STM, Sertifikat Professional, D3 (Diploma), D4 (Diploma)",Kontrak,"Penjualan / Pemasaran,Penjualan Ritel","Bisnis (contoh: Kemeja);Uang Makan,BPJS Kesehatan, BPJS ketenagakerjaan;Senin-Sabtu",9 days,51 - 200 pekerja,Makanan & Minuman/Katering/Restoran,"Kualifikasi :Pendidikan minimal SMA/SMK, freshgraduate atau berpengalaman di bidang sales.Usia minimal 25 tahun.Minimal memiliki pengalaman kerja selama 1 tahun di bidang yang samaMemiliki skill dalam penjualan (Selling skill).Memiliki kemampuan komunikasi yang baik.Mampu bekerja dengan target.Mampu bekerja dalam tim maupun secara individu.Memiliki kemampuan leadership, disiplin dan good attitude.Bersedia ditempatkan di Malang dan luar Malang sesuai dengan ketentuan perusahaan.Tugas dan Tanggung Jawab :Mencari order, menambah pelanggan baru, serta menjual seluruh produk perusahaan.Menjalin & memelihara hubungan kerja yang baik dengan pelanggan, baik pelanggan lama maupun pelanggan baru.Tertib dan disiplin dalam laporan administrasi harian, mingguan maupun bulanan.Pengembangan area dan mencapai target penjualan.Fasilitas :Gaji pokok.Uang Makan.Insentif sesuai dengan target penjualan.BPJS Kesehatan & BP Jamsostek."
185,185,Customer Assistant Representative,Jakarta Raya,IDR,Pegawai (non-manajemen & non-supervisor),1 tahun,"Sertifikat Professional, D3 (Diploma), D4 (Diploma), Sarjana (S1)",Penuh Waktu,"Pelayanan,Teknikal & Bantuan Pelanggan","Asuransi Gigi;Asuransi kesehatan;Waktu regular, Senin - Jumat;Formil (contoh: Kemeja + Dasi)",29 days,501 - 1000 pekerja,Telekomunikasi,"Kualifikasi:Pendidikan SMK Teknik Komuputer & Jaringan, D3/S1 Teknik Telekomunikasi & Teknik Informatika.Memiliki pengalaman sebagai IT Helpdesk untuk menangani gangguan dipelanggan minimal selama 1 tahun.Memiliki jiwa customer care.Memiliki basic pengetahuan teknis telekomunikasi.Memiliki kemampuan komunikasi yang baik.Memiliki rasa empati yang tinggi.Mampu bekerjasama dalam tim.Mampu mengoperasikan Ms. Office.Jujur, energik, komunikatif, dan mampu belajar hal baru secara cepat.Penempatan wilayah Jakarta.Deskripsi pekerjaan:Melakukan Fungsi CAR meliputi :Melakukan fungsi administrasi untuk pelanggan Lintasarta (contoh : Pembuatan SLA report, MRTG, Pembuatan Surat ke Pelanggan, Restitusi, dll)Melakukan Courtesy Call ke pelanggan khusus (Kritis)Melakukan Courtesy Visit ke pelanggan terkait dengan evaluasi jaringan dalam rangka recovery pasca gangguan kritis.Membuat materi dan Risalah rapat internal dan external. Melakukan eskalasi terhadap gangguan kritis sesuai ketentuan yang berlaku.Memahami customer insight dari customer yang menjadi tanggung jawabnya.Bersama dengan Sales melakukan Joint Planing Season.Melakukan evaluasi dan memberikan usulan untuk meningkatan performansi jaringan pelanggan yang disampaikan ke unit kerja terkait dan pelanggan, di luar aplikasi dan perangkat pelanggan.Menjadi project leader kegiatan re-engineering jaringan pelanggan.Menjaga relationship dengan pelanggan melalui kegiatan formal dan non formal.Bertanggungjawab untuk melindungi keamanan aset informasi serta mematuhi kebijakan dan prosedur keamanan aset informasi yang telah ditetapkan perusahaan.Bertanggung jawab terhadap pencapaian mutu / kualitas pekerjaan sesuai standart ISO."
193,193,B2B Industrial Battery Sales Engineer,Jakarta Raya,IDR,Pegawai (non-manajemen & non-supervisor),3 tahun,"SMA, SMU/SMK/STM, Sertifikat Professional, D3 (Diploma), D4 (Diploma), Sarjana (S1)",Penuh Waktu,"Penjualan / Pemasaran,Penjualan - Teknik/Teknikal/IT","Asuransi kesehatan;Pinjaman;Waktu regular, Senin - Jumat;Kasual (contoh: Kaos)",8 days,1- 50 pekerja,Manufaktur/Produksi,"Kami adalah perusahaan penjualan Baterai untuk keperluan Industri yang telah berpengalaman selama lebih dari 30 tahun.Saat ini perusahaan kami sedang membuka lowongan untuk posisi Sales Engineer yang akan ditempatkan di wilayah Jabodetabek dan akan bertanggung jawab untuk memasarkan Baterai Industrial dengan target pasar Industri, Perusahaan Logistik, Retail dan korporat lain secara B2B.Bergabunglah dengan kami apabila Anda memiliki pengalaman dan keinginan yang besar untuk berkembang.Deskripsi Pekerjaan:Bertanggung jawab untuk mencari customer baru dan merawat customer yang dimiliki perusahaan. Menganalisa dan memberikan solusi yang tepat dari kebutuhan customer.Mempresentasikan perusahaan serta produk dan jasa yang dimilikinya kepada client.Memenuhi target yang diberikan.Memberikan hasil laporan kerja secara berkala.Kualifikasi:Memiliki semangat dan keinginan untuk berkembang yang tinggi,Memiliki kejujuran dan rasa bertanggung jawab,Memiliki rasa keingintahuan dan kemauan untuk belajar,Dapat bekerja dalam team maupun individu,Memiliki SIM A/C,Pendidikan minimal SMA/sederajat,Usia maksimal 45 tahun,Dapat menggunakan komputer (Microsoft Office & Internet),Berkemampuan Bahasa Indonesia dan Inggris dasar baik lisan maupun tertulis,Memiliki pengalaman kerja di bidang penjualan B2B atau bidang industri yang relevan minimal 3 tahun,Memiliki kemampuan / pengalaman di bidang penjualan media penyimpanan listrik (Baterai/Aki) lebih disukai,Memiliki kemampuan / pengalaman di bidang Material Handling Equipment atau UPS lebih disukai."
198,198,SALES,Jakarta Utara,IDR,Pegawai (non-manajemen & non-supervisor),1 tahun,"Sertifikat Professional, D3 (Diploma), D4 (Diploma)",Penuh Waktu,"Penjualan / Pemasaran,Telesales/Telemarketing",Bisnis (contoh: Kemeja),18 days,1- 50 pekerja,Elektrikal & Elektronik,Usia Maksimal 35 tahunMinimal D3 Semua JurusanPengalaman dibidangnya minimal 1 TahunBerorientasi pada pencapaian target penjualan dan kepuasan konsumenPandai berkomunikasi dan bernegosiasi dengan baikMemiliki kendaraan bermotorDomisili Kelapa Gading dan sekitarnya
202,202,IT Specialist,Karawang,IDR,Supervisor/Koordinator,5 tahun,"Sertifikat Professional, D3 (Diploma), D4 (Diploma), Sarjana (S1)",Penuh Waktu,"Komputer/Teknologi Informasi,IT-Admin Jaringan/Sistem/Database","Asuransi kesehatan;Waktu regular, Senin - Jumat;Company Uniform",27 days,Lebih dari 5000 pekerja,Manufaktur/Produksi,"Job Description :Troubleshoot issues, ensure network security, provide technical support.Create and implementing scalable networks design especially for new plant/building, highly preference with Cisco platform solutionSpecification :Bachelor's degree in computer science, networking administration, information technology, or a similar field.Detailed knowledge of networking systems, highly preference with Cisco certification.At least 5 years' experience as network engineer.Ability to identify, deploy, and manage complex networking systems in project base.Knowledge of data communication in Wide Area Network topology."
217,217,Sales Executive,Purwokerto,IDR,Pegawai (non-manajemen & non-supervisor),1 tahun,"SMA, SMU/SMK/STM, Sertifikat Professional, D3 (Diploma), D4 (Diploma), Sarjana (S1)",Penuh Waktu,"Penjualan / Pemasaran,Penjualan Ritel","Asuransi kesehatan;Waktu regular, Senin - Jumat;Kasual (contoh: Kaos)",16 days,201 - 500 pekerja,Perbankan/Pelayanan Keuangan,"Tentang majoomajoo Teknologi Indonesia adalah salah satu perusahaan yang bergerak di bidang aplikasi wirausaha lengkap mulai dari pengelolaan penjualan,pelanggan, pembayaran, inventori, keuangan, karyawan sampai dengan pembiayaan usaha. Saat ini majoo sedang mencari Sales Executive untuk ditempatkan di Purwokerto dengan kualifikasi dan deskripsi pekerjaan sebagai berikut.Deskripsi PekerjaanMengumpulkan daftar merchant potensialMeningkatkan penjualan secara efektif (direct selling/ meeting)Melakukan demonstrasi produk berdasarkan kebutuhan merchant (edukasi dan instalasi aplikasi Majoo)Berkoordinasi dengan atasan dan divisi terkait (terkait pembayaran)Penempatan PurwokertoKualifikasiPendidikan minimal SMA atau sederajatMemiliki pengalaman kerja di bidang sales minimal 1 tahunUsia maksimal 35 tahunMemiliki kendaraan pribadi dan SIM-C (minimal)Aktif dalam komunitas atau organisasi akan menjadi nilai tambahKomunikatif, bisa bekerjasama dalam tim, dan menyukai bekerja di lapanganMempunyai smartphone android dan aktif dalam bersosial mediaKompensasi dan BenefitBPJS Kesehatan dan KetenagakerjaanInsentifJam kerja yang fleksibelFasilitasTools Kit (Tablet, brosur, bluetooth printer, dan lanyard)"
